verified872: L=872 e=25 D=25 X4=0 Z=0 Q2=0 Ncyc=25 S5=25 S4=0 NCh=26 P=29 PEN=25 -> ALL 14 PASS
sol000.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol001.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol002.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol003.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol004.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol005.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol006.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol007.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol008.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol009.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol010.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol011.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol012.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol013.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol014.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol015.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol016.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol017.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol018.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol019.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol020.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol021.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol022.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol023.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol024.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol025.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
sol026.txt: L=873 e=0 D=0 X4=6 Z=0 Q2=0 Ncyc=0 S5=0 S4=0 NCh=6 P=24 PEN=0 -> ALL 14 PASS
