20-e1 1 0 0 0 0 | 26 22 6 4 | 0 0 | 2 1
20-e1 1 0 0 0 0 | 26 21 4 5 | 0 0 | 2 1
20-e1 1 0 0 0 0 | 26 22 5 4 | 0 0 | 2 1
20-e1 1 0 0 0 0 | 26 20 2 6 | 0 0 | 2 1
20-e1 1 0 0 0 0 | 26 21 3 5 | 0 0 | 2 1
20-e1 1 0 0 0 0 | 26 22 4 4 | 0 0 | 2 1
20-e1 1 0 0 0 0 | 26 19 0 7 | 0 0 | 2 1
20-e1 1 0 0 0 0 | 26 20 1 6 | 0 0 | 2 1
20-e1 1 0 0 0 0 | 26 21 2 5 | 0 0 | 2 1
20-e1 1 0 0 0 0 | 26 22 3 4 | 0 0 | 2 1
20-e1 1 0 0 0 0 | 26 20 0 6 | 0 0 | 2 1
20-e1 1 0 0 0 0 | 26 21 1 5 | 0 0 | 2 1
20-e1 1 0 0 0 0 | 26 22 2 4 | 0 0 | 2 1
20-e1 1 0 0 0 0 | 26 21 0 5 | 0 0 | 2 1
20-e1 1 0 0 0 0 | 26 22 1 4 | 0 0 | 2 1
20-e1 1 0 0 0 0 | 26 22 0 4 | 0 0 | 2 1
20-e2 1 0 1 0 0 | 25 21 5 4 | 4 0 | 2 1
20-e2 1 0 1 0 0 | 25 20 3 5 | 4 0 | 2 1
20-e2 1 0 1 0 0 | 25 21 4 4 | 4 0 | 2 1
20-e2 1 0 1 0 0 | 25 19 1 6 | 4 0 | 2 1
20-e2 1 0 1 0 0 | 25 20 2 5 | 4 0 | 2 1
20-e2 1 0 1 0 0 | 25 21 3 4 | 4 0 | 2 1
20-e2 1 0 1 0 0 | 25 19 0 6 | 4 0 | 2 1
20-e2 1 0 1 0 0 | 25 20 1 5 | 4 0 | 2 1
20-e2 1 0 1 0 0 | 25 21 2 4 | 4 0 | 2 1
20-e2 1 0 1 0 0 | 25 20 0 5 | 4 0 | 2 1
20-e2 1 0 1 0 0 | 25 21 1 4 | 4 0 | 2 1
20-e2 1 0 1 0 0 | 25 21 0 4 | 4 0 | 2 1
20-e2 2 0 0 0 0 | 24 21 2 3 | 0 0 | 3 2
20-e2 2 0 0 0 0 | 24 20 0 4 | 0 0 | 3 2
20-e2 2 0 0 0 0 | 24 21 1 3 | 0 0 | 3 2
20-e2 2 0 0 0 0 | 24 21 0 3 | 0 0 | 3 2
20-e2 2 0 0 0 1 | 24 20 0 4 | 0 0 | 2 2
20-e3 0 0 3 0 0 | 25 20 7 5 | 12 0 | 1 0
20-e3 0 0 3 0 0 | 25 19 5 6 | 12 0 | 1 0
20-e3 0 0 3 0 0 | 25 20 6 5 | 12 0 | 1 0
20-e3 0 0 3 0 0 | 25 18 3 7 | 12 0 | 1 0
20-e3 0 0 3 0 0 | 25 19 4 6 | 12 0 | 1 0
20-e3 0 0 3 0 0 | 25 20 5 5 | 12 0 | 1 0
20-e3 0 0 3 0 0 | 25 17 1 8 | 12 0 | 1 0
20-e3 0 0 3 0 0 | 25 18 2 7 | 12 0 | 1 0
20-e3 0 0 3 0 0 | 25 19 3 6 | 12 0 | 1 0
20-e3 0 0 3 0 0 | 25 20 4 5 | 12 0 | 1 0
20-e3 0 0 3 0 0 | 25 17 0 8 | 12 0 | 1 0
20-e3 0 0 3 0 0 | 25 18 1 7 | 12 0 | 1 0
20-e3 0 0 3 0 0 | 25 19 2 6 | 12 0 | 1 0
20-e3 0 0 3 0 0 | 25 20 3 5 | 12 0 | 1 0
20-e3 0 0 3 0 0 | 25 18 0 7 | 12 0 | 1 0
20-e3 0 0 3 0 0 | 25 19 1 6 | 12 0 | 1 0
20-e3 0 0 3 0 0 | 25 20 2 5 | 12 0 | 1 0
20-e3 0 0 3 0 0 | 25 19 0 6 | 12 0 | 1 0
20-e3 0 0 3 0 0 | 25 20 1 5 | 12 0 | 1 0
20-e3 0 0 3 0 0 | 25 20 0 5 | 12 0 | 1 0
20-e3 1 0 2 0 0 | 24 20 4 4 | 8 0 | 2 1
20-e3 1 0 2 0 0 | 24 19 2 5 | 8 0 | 2 1
20-e3 1 0 2 0 0 | 24 20 3 4 | 8 0 | 2 1
20-e3 1 0 2 0 0 | 24 18 0 6 | 8 0 | 2 1
20-e3 1 0 2 0 0 | 24 19 1 5 | 8 0 | 2 1
20-e3 1 0 2 0 0 | 24 20 2 4 | 8 0 | 2 1
20-e3 1 0 2 0 0 | 24 19 0 5 | 8 0 | 2 1
20-e3 1 0 2 0 0 | 24 20 1 4 | 8 0 | 2 1
20-e3 1 0 2 0 0 | 24 20 0 4 | 8 0 | 2 1
20-e3 2 0 1 0 0 | 23 20 1 3 | 4 0 | 3 2
20-e3 2 0 1 0 0 | 23 20 0 3 | 4 0 | 3 2
20-e3 2 0 1 0 1 | 23 20 1 3 | 4 0 | 2 2
20-e3 2 0 1 0 1 | 23 20 0 3 | 4 0 | 2 2
20-e4 1 0 3 0 0 | 23 20 5 3 | 12 0 | 2 1
20-e4 1 0 3 0 0 | 23 19 3 4 | 12 0 | 2 1
20-e4 1 0 3 0 0 | 23 20 4 3 | 12 0 | 2 1
