span  cells=[0, 152, 300] gap=1 classes=[0, 18]
arc   cells=[485, 21, 232, 690] gap=-1 classes=[20, 21, 28, 4]
arc   cells=[480] gap=-1 classes=[1]
arc   cells=[154, 306, 456] gap=-1 classes=[72, 12, 2]
arc   cells=[3, 160, 330] gap=-1 classes=[3, 48, 6]
arc   cells=[603, 9, 184] gap=-1 classes=[8, 9, 24]
arc   cells=[581] gap=-1 classes=[54]
arc   cells=[59] gap=-1 classes=[59]
arc   cells=[359] gap=-1 classes=[47]
arc   cells=[563] gap=-1 classes=[85]
cyc   cells=[47, 358, 715, 555, 371] gap=0 classes=[5, 29, 43, 46]
cyc   cells=[11, 190, 474, 697, 483] gap=2 classes=[11, 25, 7, 10]
cyc   cells=[203, 551, 351, 683, 399] gap=1 classes=[13, 44, 109, 50]
cyc   cells=[14, 206, 564, 408, 242] gap=1 classes=[14, 23, 17, 15]
cyc   cells=[213, 593, 663, 297, 401] gap=1 classes=[16, 104, 30, 51]
cyc   cells=[107, 670, 325, 557, 381] gap=0 classes=[19, 97, 103, 106]
cyc   cells=[237, 713, 543, 299, 407] gap=1 classes=[22, 80, 31, 53]
cyc   cells=[39, 328, 571, 459, 611] gap=1 classes=[39, 26, 36, 38]
cyc   cells=[41, 334, 595, 675, 369] gap=1 classes=[41, 27, 37, 40]
cyc   cells=[32, 302, 438, 504, 120] gap=1 classes=[32, 45, 35, 33]
cyc   cells=[201, 545, 309, 467, 645] gap=0 classes=[81, 34, 67, 100]
cyc   cells=[99, 640, 181, 436, 499] gap=0 classes=[42, 102, 96, 98]
cyc   cells=[48, 392, 156, 314, 492] gap=0 classes=[108, 66, 52, 49]
cyc   cells=[54, 416, 276, 194, 494] gap=0 classes=[110, 68, 58, 55]
cyc   cells=[56, 422, 318, 506, 126] gap=3 classes=[56, 111, 69, 57]
cyc   cells=[73, 514, 163, 340, 618] gap=4 classes=[73, 60, 84, 74]
cyc   cells=[76, 524, 223, 652, 253] gap=2 classes=[76, 61, 75, 77]
cyc   cells=[62, 446, 534, 264, 128] gap=4 classes=[62, 113, 71, 65]
cyc   cells=[82, 548, 343, 628, 133] gap=3 classes=[82, 63, 87, 83]
cyc   cells=[90, 584, 631, 147, 256] gap=4 classes=[90, 64, 88, 94]
cyc   cells=[114, 704, 511, 149, 262] gap=4 classes=[114, 70, 112, 118]
cyc   cells=[78, 536, 270, 170, 374] gap=3 classes=[78, 116, 92, 79]
cyc   cells=[86, 566, 414, 266, 134] gap=4 classes=[86, 119, 95, 89]
cyc   cells=[98, 638, 175, 412, 258] gap=0 classes=[91, 115, 101, 99]
cyc   cells=[104, 662, 295, 388, 138] gap=0 classes=[93, 117, 107, 105]
