# CENSUS TABLE for the L=871 habitat N871-B
# Regenerate:  python3 src/coverage/checks/print_census.py
# Part A: the 200 configurations of the 15 Z=0 structural classes.
# columns: a2 a3 c1 c2 bq1 | a1 n45 n4 nS | sumc1 sumc2 | LAM  (U = a2+2a3)

## CLASS (20,0,0)/e=1/X4h=0   P#=28  NCh=2  configurations=16
   a2=1 a3=0 c1=0 c2=0 bq1=0 | a1=26 n45=19 n4=0 nS= 7 | sumc1=  0 sumc2=0 | LAM=2 U=1
   a2=1 a3=0 c1=0 c2=0 bq1=0 | a1=26 n45=20 n4=0 nS= 6 | sumc1=  0 sumc2=0 | LAM=2 U=1
   a2=1 a3=0 c1=0 c2=0 bq1=0 | a1=26 n45=20 n4=1 nS= 6 | sumc1=  0 sumc2=0 | LAM=2 U=1
   a2=1 a3=0 c1=0 c2=0 bq1=0 | a1=26 n45=20 n4=2 nS= 6 | sumc1=  0 sumc2=0 | LAM=2 U=1
   a2=1 a3=0 c1=0 c2=0 bq1=0 | a1=26 n45=21 n4=0 nS= 5 | sumc1=  0 sumc2=0 | LAM=2 U=1
   a2=1 a3=0 c1=0 c2=0 bq1=0 | a1=26 n45=21 n4=1 nS= 5 | sumc1=  0 sumc2=0 | LAM=2 U=1
   a2=1 a3=0 c1=0 c2=0 bq1=0 | a1=26 n45=21 n4=2 nS= 5 | sumc1=  0 sumc2=0 | LAM=2 U=1
   a2=1 a3=0 c1=0 c2=0 bq1=0 | a1=26 n45=21 n4=3 nS= 5 | sumc1=  0 sumc2=0 | LAM=2 U=1
   a2=1 a3=0 c1=0 c2=0 bq1=0 | a1=26 n45=21 n4=4 nS= 5 | sumc1=  0 sumc2=0 | LAM=2 U=1
   a2=1 a3=0 c1=0 c2=0 bq1=0 | a1=26 n45=22 n4=0 nS= 4 | sumc1=  0 sumc2=0 | LAM=2 U=1
   a2=1 a3=0 c1=0 c2=0 bq1=0 | a1=26 n45=22 n4=1 nS= 4 | sumc1=  0 sumc2=0 | LAM=2 U=1
   a2=1 a3=0 c1=0 c2=0 bq1=0 | a1=26 n45=22 n4=2 nS= 4 | sumc1=  0 sumc2=0 | LAM=2 U=1
   a2=1 a3=0 c1=0 c2=0 bq1=0 | a1=26 n45=22 n4=3 nS= 4 | sumc1=  0 sumc2=0 | LAM=2 U=1
   a2=1 a3=0 c1=0 c2=0 bq1=0 | a1=26 n45=22 n4=4 nS= 4 | sumc1=  0 sumc2=0 | LAM=2 U=1
   a2=1 a3=0 c1=0 c2=0 bq1=0 | a1=26 n45=22 n4=5 nS= 4 | sumc1=  0 sumc2=0 | LAM=2 U=1
   a2=1 a3=0 c1=0 c2=0 bq1=0 | a1=26 n45=22 n4=6 nS= 4 | sumc1=  0 sumc2=0 | LAM=2 U=1

## CLASS (20,0,0)/e=2/X4h=0   P#=28  NCh=3  configurations=17
   a2=1 a3=0 c1=1 c2=0 bq1=0 | a1=25 n45=19 n4=0 nS= 6 | sumc1=  4 sumc2=0 | LAM=2 U=1
   a2=1 a3=0 c1=1 c2=0 bq1=0 | a1=25 n45=19 n4=1 nS= 6 | sumc1=  4 sumc2=0 | LAM=2 U=1
   a2=1 a3=0 c1=1 c2=0 bq1=0 | a1=25 n45=20 n4=0 nS= 5 | sumc1=  4 sumc2=0 | LAM=2 U=1
   a2=1 a3=0 c1=1 c2=0 bq1=0 | a1=25 n45=20 n4=1 nS= 5 | sumc1=  4 sumc2=0 | LAM=2 U=1
   a2=1 a3=0 c1=1 c2=0 bq1=0 | a1=25 n45=20 n4=2 nS= 5 | sumc1=  4 sumc2=0 | LAM=2 U=1
   a2=1 a3=0 c1=1 c2=0 bq1=0 | a1=25 n45=20 n4=3 nS= 5 | sumc1=  4 sumc2=0 | LAM=2 U=1
   a2=1 a3=0 c1=1 c2=0 bq1=0 | a1=25 n45=21 n4=0 nS= 4 | sumc1=  4 sumc2=0 | LAM=2 U=1
   a2=1 a3=0 c1=1 c2=0 bq1=0 | a1=25 n45=21 n4=1 nS= 4 | sumc1=  4 sumc2=0 | LAM=2 U=1
   a2=1 a3=0 c1=1 c2=0 bq1=0 | a1=25 n45=21 n4=2 nS= 4 | sumc1=  4 sumc2=0 | LAM=2 U=1
   a2=1 a3=0 c1=1 c2=0 bq1=0 | a1=25 n45=21 n4=3 nS= 4 | sumc1=  4 sumc2=0 | LAM=2 U=1
   a2=1 a3=0 c1=1 c2=0 bq1=0 | a1=25 n45=21 n4=4 nS= 4 | sumc1=  4 sumc2=0 | LAM=2 U=1
   a2=1 a3=0 c1=1 c2=0 bq1=0 | a1=25 n45=21 n4=5 nS= 4 | sumc1=  4 sumc2=0 | LAM=2 U=1
