==============================================================================
LEMMA 6.7 -- cycle-shape exclusion: no type-II cycle in any of the sixteen classes
==============================================================================

[A] TIER 1: the closed-form kill  (all censuses with c2 >= 1, b_q1 = 0)
    cell            a2 a3 c1 c2 | a1 lam | N_lo N_hi | verdict
    (20,0,0) e=2 X4h=0  0  0  0  1 | 26   1 |   20   21 | -> TIER 2
    (20,0,0) e=3 X4h=0  0  0  1  1 | 25   1 |   19   20 | -> TIER 2
    (20,0,0) e=3 X4h=0  1  0  0  1 | 24   2 |   21   20 | DEAD  (N_lo > N_hi)
    (20,0,0) e=4 X4h=0  0  0  2  1 | 24   1 |   19   20 | -> TIER 2
    (20,0,0) e=4 X4h=0  0  0  0  2 | 24   1 |   21   20 | DEAD  (N_lo > N_hi)
    (20,0,0) e=4 X4h=0  0  1  0  1 | 23   2 |   23   20 | DEAD  (N_lo > N_hi)
    (20,0,0) e=4 X4h=0  1  0  1  1 | 23   2 |   20   20 | -> TIER 2
    (20,0,0) e=4 X4h=0  2  0  0  1 | 22   3 |   22   20 | DEAD  (N_lo > N_hi)
    (20,0,0) e=5 X4h=0  0  0  3  1 | 23   1 |   18   19 | -> TIER 2
    (20,0,0) e=5 X4h=0  0  0  1  2 | 23   1 |   21   19 | DEAD  (N_lo > N_hi)
    (20,0,0) e=5 X4h=0  0  1  1  1 | 22   2 |   22   19 | DEAD  (N_lo > N_hi)
    (20,0,0) e=5 X4h=0  1  0  2  1 | 22   2 |   20   19 | DEAD  (N_lo > N_hi)
    (20,0,0) e=5 X4h=0  1  0  0  2 | 22   2 |   22   19 | DEAD  (N_lo > N_hi)
    (20,0,0) e=5 X4h=0  1  1  0  1 | 21   3 |   24   19 | DEAD  (N_lo > N_hi)
    (20,0,0) e=5 X4h=0  2  0  1  1 | 21   3 |   21   19 | DEAD  (N_lo > N_hi)
    (20,0,0) e=5 X4h=0  3  0  0  1 | 20   4 |   23   19 | DEAD  (N_lo > N_hi)
    (20,0,0) e=6 X4h=0  0  0  4  1 | 22   1 |   18   18 | -> TIER 2
    (20,0,0) e=6 X4h=0  0  0  2  2 | 22   1 |   20   18 | DEAD  (N_lo > N_hi)
    (20,0,0) e=6 X4h=0  0  0  0  3 | 22   1 |   23   18 | DEAD  (N_lo > N_hi)
    (20,0,0) e=6 X4h=0  0  1  2  1 | 21   2 |   22   18 | DEAD  (N_lo > N_hi)
    (20,0,0) e=6 X4h=0  0  1  0  2 | 21   2 |   24   18 | DEAD  (N_lo > N_hi)
    (20,0,0) e=6 X4h=0  0  2  0  1 | 20   3 |   26   18 | DEAD  (N_lo > N_hi)
    (20,0,0) e=6 X4h=0  1  0  3  1 | 21   2 |   19   18 | DEAD  (N_lo > N_hi)
    (20,0,0) e=6 X4h=0  1  0  1  2 | 21   2 |   22   18 | DEAD  (N_lo > N_hi)
    (20,0,0) e=6 X4h=0  1  1  1  1 | 20   3 |   23   18 | DEAD  (N_lo > N_hi)
    (20,0,0) e=6 X4h=0  2  0  2  1 | 20   3 |   21   18 | DEAD  (N_lo > N_hi)
    (20,0,0) e=6 X4h=0  2  0  0  2 | 20   3 |   23   18 | DEAD  (N_lo > N_hi)
    (20,0,0) e=6 X4h=0  2  1  0  1 | 19   4 |   25   18 | DEAD  (N_lo > N_hi)
    (20,0,0) e=6 X4h=0  3  0  1  1 | 19   4 |   22   18 | DEAD  (N_lo > N_hi)
